metric,mean,std,min,max,p5,p95,n
outer_radius,583.8173,80.8487,339.01,692.1,422.552,668.836,37
inner_radius,60.3797,119.6457,1,573.36,8.17,347.276,37
center_dist,490.5678,162.7015,86.42,733.32,128.614,680.238,37
ring_thickness,523.4376,147.4839,3.03,667.8,237.696,658.486,37
mean_radius,322.0989,70.624,195.02,574.87,229.782,466.128,37
min_thickness,51.027,104.1667,1,336,1,277.6,37
max_thickness,320.027,190.9327,65,888,116.8,740.6,37
mean_thickness,132.1127,158.5906,17.13,562.04,25.286,478.656,37
thickness_std,67.1646,35.8185,12.82,148.92,16.128,115.306,37
thickness_cv,88.3611,45.8039,16.25,184.46,18.35,164.262,37
thickness_range,269,105.2027,59,613,115.8,431,37
thickness_ratio,139.9486,114.8563,2.204,412,2.3702,296.2,37
circularity_outer,0.0674,0.0438,0.0213,0.1674,0.0238,0.161,37
circularity_inner,0.4885,0.2525,0.0717,0.8732,0.0893,0.8465,37
outer_radial_std,215.5527,69.3805,65.44,332.35,88.208,310.39,37
inner_radial_std,15.0292,25.2524,0,92.6,0.53,83.528,37
eccentricity_pct,158.4081,51.6528,18.29,220.12,29.08,213.248,37
annular_area,353340.5946,201168.455,84870,1024935,107970,725051.2,37
edge_clearance,193.027,117.7593,0,359,0,335.2,37
